file_name,text
4.mp4,Use the left hand to pick up dragonfruit from pink plate to teal plate.
5.mp4,Use the right hand to pick up purple grapes from large blue plate to small teal plate.
89.mp4,Use the right hand to pick up pink peach from top level of the shelf to bottom level of the shelf.
28.mp4,Use the left hand to pick up yellow mustard bottle from tan table to middle level of white shelf.
21.mp4,Use the right hand to pick up rubik's cube from top level of brown wooden shelf to bottom level of brown wooden shelf.
41.mp4,Use the right hand to pick up rubik's cube from bottom level of the wooden shelf to top level of the wooden shelf.
9.mp4,Use the left hand to pick up tall purple glass from center of blue plate to center of teal plate.
19.mp4,Use the right hand to pick up green apple from bottom shelf to top shelf.
27.mp4,Use the right hand to pick up bread slice from blue plate to toaster.
92.mp4,Use the right hand to pick up rubik's cube from bottom level of brown wooden shelf to top level of brown wooden shelf.
62.mp4,Use the left hand to pick up green cucumber from from the beige place mat to to the small cyan plate.
84.mp4,Use the right hand to pick up yellow mango from right side of table to lower white tray of plastic shelf.
91.mp4,Use the right hand to pick up orange juice carton from center of table to gray basket.
73.mp4,Use the left hand to pick up blue clock from bottom wooden shelf to center of teal plate.
10.mp4,Use the right hand to pick up green grapes from black tray at the center of the table to white circular mat at the right side of the table.
58.mp4,Use the right hand to pick up red glass from blue plate to teal plate.
44.mp4,Use the right hand to pick up green cucumber from right side of table to white shelf.
66.mp4,Use the right hand to pick up rubik's cube from bottom level of brown wooden shelf to top level of brown wooden shelf.
75.mp4,Use the right hand to pick up the tangerine from from the large pink plate to to the small teal plate.
16.mp4,Use the right hand to pick up red tomato from upper black tray of plastic shelf to inside of brown paper bag.
34.mp4,Use the right hand to pick up red milk carton from right side of tan table to center of yellow bin.
74.mp4,Use the right hand to pick up rubik's cube from bottom level of the wooden shelf to top level of the wooden shelf.
70.mp4,Use the right hand to pick up red cup from right side of table to blue plate.
90.mp4,Use the right hand to pick up rubik's cube from circular gray mat to black rack.
13.mp4,Use the right hand to pick up pink mug from top level of the shelf to tan table.
82.mp4,Use the right hand to pick up rubik's cube from bottom wooden shelf to top wooden shelf.
55.mp4,Use the right hand to pick up grapes from white table left side to bottom level of shelf.
69.mp4,Use the right hand to pick up tall grey glass from right of tan table to turquoise plate.
68.mp4,Use the right hand to pick up orange juice carton from center of pink plate to center of pink bowl.
63.mp4,Use the left hand to pick up yellow mustard bottle from baby blue plate to pale turquoise plate.
83.mp4,Use the right hand to pick up rubik's cube from from the pink plate on the right side of the table to to the small cyan plate on the right side of the table above the pink plate.
53.mp4,Use the right hand to pick up clear red cup from tan table to light blue plate.
98.mp4,Use the left hand to pick up yellow mustard bottle from tan table to middle level of white shelf.
14.mp4,Use the right hand to pick up red apple from yellow plate to tan bowl.
11.mp4,Use the right hand to pick up corn from top black shelf to paper bag.
78.mp4,Use the left hand to pick up green leafy vegetable from basket on the left side of the table to circular mat at the center of the table.
12.mp4,Use the left hand to pick up brown potato from dark blue plate to the left to yellow plate to the right.
38.mp4,Use the right hand to pick up tall red glass from center of tan table to center of bright blue plate.
51.mp4,Use the left hand to pick up clear blue glass from blue plate to teal plate.
94.mp4,Use the right hand to pick up purple grapes from center of table to lower white plastic tray.
45.mp4,Use the right hand to pick up green apple from top tier of wooden shelf to bottom tier of wooden shelf.
43.mp4,Use the right hand to pick up red apple from pink plate to teal plate.
18.mp4,Use the right hand to pick up orange juice carton from pink plate to cyan bowl.
59.mp4,Use the left hand to pick up white clock from middle of tan table to top of the wooden shelf.
77.mp4,Use the left hand to pick up red glass from baby blue plate to pale turquoise plate.
60.mp4,Use the right hand to pick up rubik's cube from bottom level of the shelf to top level of the shelf.
79.mp4,Use the right hand to pick up red pepper from black top shelf to bottom white shelf.
65.mp4,Use the right hand to pick up dark blue clock from light red plate to light green plate.
22.mp4,Use the right hand to pick up plastic potato from upper center of table to white shelf.
95.mp4,Use the left hand to pick up rubiks cube from yellow plate to grey plate.
31.mp4,Use the right hand to pick up tall red glass from center of tan table to center of bright blue plate.
86.mp4,Use the right hand to pick up red apple from right side of table to lower level of black fruit basket.
85.mp4,Use the right hand to pick up green cucumber from white cirlce to lower level of black basket.
35.mp4,Use the right hand to pick up yellow mango from right side of table to white shelf.
67.mp4,Use the right hand to pick up green apple from bottom shelf to top shelf.
40.mp4,Use the left hand to pick up orange from blue plate to pale turquoise plate.
24.mp4,Use the right hand to pick up red glass from right side of table to blue plate.
80.mp4,Use the right hand to pick up ruik's cube from bottom dark wooden three tier shelf to top dark wooden three tier shelf.
47.mp4,Use the right hand to pick up green cup from tan table to teal plate.
64.mp4,Use the right hand to pick up dark red apple from center of table to bottom level black wire tray.
56.mp4,Use the right hand to pick up pink peach from black shelf to inside brown paper bag.
96.mp4,Use the right hand to pick up peach from top black shelf to inside brown paper bag.
6.mp4,Use the right hand to pick up orange from middle of table to bottom white shelf.
71.mp4,Use the right hand to pick up tan potato from center of table to lower white tray of plastic shelf.
57.mp4,Use the right hand to pick up blue mug from table mat to blue box.
7.mp4,Use the left hand to pick up orange juice carton from center of pink plate to teal bowl.
25.mp4,Use the right hand to pick up pink peach from center of table to lower white tray of plastic shelf.
29.mp4,Use the right hand to pick up white mug from green plate to gray plate.
54.mp4,Use the right hand to pick up rubik's cube from bottom wooden shelf to top wooden shelf.
93.mp4,Use the left hand to pick up white clock from middle of table to bottom of wooden shelf.
1.mp4,Use the right hand to pick up green bok choy from tan table right side to bottom level of wire basket.
49.mp4,Use the left hand to pick up potato from from the blue plate on the left side of the table to to the yellow bowl.
72.mp4,Use the left hand to pick up clock from lower level shelf on the left side of the table to center of the table.
76.mp4,Use the right hand to pick up rubik's cube from top level of brown wooden shelf to bottom level of brown wooden shelf.
17.mp4,Use the left hand to pick up milk bottle from pink bowl to light blue plate.
32.mp4,Use the right hand to pick up rubik's cube from from the top of the three-tiered wooden shelf to to the bottom of the brown three-tiered wooden shelf.
42.mp4,Use the right hand to pick up blue glass from pink plate to light blue plate.
33.mp4,Use the right hand to pick up rubik's cube from light blue plate to teal plate.
26.mp4,Use the left hand to pick up zucchini from inside white mug to blue plate.
23.mp4,Use the right hand to pick up red glass from blue plate to teal plate.
97.mp4,Use the right hand to pick up green avocado from right side of table to lower level of wire fruit basket.
48.mp4,Use the right hand to pick up pink dragon fruit from pink plate to teal plate.
99.mp4,Use the right hand to pick up orange glass from pink plate to pale turquoise plate.
52.mp4,Use the right hand to pick up pink peach from right side of white table to bottom level of the shelf.
46.mp4,Use the right hand to pick up rubik's cube from pink plate to teal plate.
100.mp4,Use the right hand to pick up rubik's cube from top level of the wooden shelf to bottom level of the wooden shelf.
39.mp4,Use the left hand to pick up yellow mustard bottle from tan table to middle level of white shelf.
87.mp4,Use the right hand to pick up red tomato from center of table to lower white tray of plastic shelf.
61.mp4,Use the right hand to pick up green glass from tan table to light blue plate.
3.mp4,Use the right hand to pick up banana from teal plate to wooden table.
88.mp4,Use the right hand to pick up purple grapes from right side of table to white shelf.
30.mp4,Use the right hand to pick up rubiks cube from top level of the wooden shelf to bottom level of the wooden shelf.
36.mp4,Use the left hand to pick up orange from circular gray mat to light blue box.
15.mp4,Use the right hand to pick up clear orange cup from top level of the shelf to bottom level of the shelf.
2.mp4,Use the right hand to pick up rubik's cube from top level of the shelf to bottom level of the shelf.
20.mp4,Use the right hand to pick up rubik's cube from bottom tier of wooden shelf to top level of wooden shelf.
37.mp4,Use the right hand to pick up green cup from tan table to blue plate.
50.mp4,Use the right hand to pick up rubik's cube from top wooden shelf to bottom wooden shelf.
8.mp4,Use the left hand to pick up rubik's cube from center of blue plate to center of teal plate.
81.mp4,Use the right hand to pick up corn from from the right side of the table to to the top of the two-tiered wooden shelf.
